indian_commodity_name,commodity_category_fssai,icmr_nin_ifct_code,moisture_content_pct,fat_content_pct,ph_level,water_activity_aw,respiration_rate_mg_co2_kg_hr,target_shelf_life_days,storage_temperature_c,ambient_relative_humidity_pct,supply_chain_logistics,storage_regime,recommended_biodegradable_packaging,biodegradable_layer_structure,recommended_gauge_thickness_microns,target_otr_cc_m2_day_atm,target_wvtr_g_m2_day,sealing_mechanism,mechanical_strength_requirement,map_suitability,recommended_gas_composition,fssai_packaging_regulations_2018_clause,prescribed_bis_is_standard,fssai_migration_limit_compliance,cpcb_plastic_waste_management_rule_category,commercial_trade_reference_india,legal_and_scientific_source_citation
Basmati Rice (Aged),Grains & Flours,A005,11.75,0.55,6.48,0.56,0,441,22.9,65.9,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,118,185,3.24,Stitched Top / Heat Sealed Inner Liner,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Roasted Urad Dal Papad,Indian Snacks & Namkeen,Black Gram Papad,12.23,1.88,6.49,0.55,0,124,20.2,59.9,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Moisture-Barrier NatureFlex / PLA Hermetic Pouch,Duplex: 25µm NatureFlex NK / 30µm Ingeo PLA Sealant Layer,74,77.1,2.78,Continuous Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Moisture & Insect Protection,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK / Bio-Flex®,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Basmati Rice (Aged),Grains & Flours,A005,12,0.54,6.54,0.56,0,719,27.9,61.9,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,102,95,3.89,Stitched Top / Heat Sealed Inner Liner,Heavy Duty Drop Resistance (>50 kg drop test),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Bikaneri Bhujia,Indian Snacks & Namkeen,Moth Bean Fried Snack,1.58,34.19,5.95,0.22,0,138,36,76.8,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,Duplex: 23µm Metallized NatureFlex NKME / 30µm Puncture-Resistant Bio-PBS Sealant,63,1.4,0.92,Fin/Lap Heat Seal with High Hot Tack (100-115°C),Puncture Resistant against Sharp Fried Gram Strands,Yes,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),"Cl. 4(5) & Schedule I (Fried and Namkeen Foods, Acid Value < 2.0)","IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D (Refined Edible Oil); Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME (Futamura) + BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,11.25,20.65,6.24,0.68,0,21,22.3,60.3,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,24,88,4.23,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Crush Resistant Rigid Box (IS 2771),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,Plantain Fried Chips,2.1,32.8,5.79,0.24,0,127,36.5,65,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,High-Barrier Metallized Cellulosic Laminate with N2 Flush,Triplex: 20µm NatureFlex / 15µm Met-Cellulose / 35µm Bio-PBS Sealant,82,1.1,1.16,Hermetic Lap Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Flush (prevents coconut oil rancidity),Cl. 4(5) & Acid value < 2.0,"IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D; OML < 10 mg/dm2 in coconut oil medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / TIPA 302,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
Roasted Urad Dal Papad,Indian Snacks & Namkeen,Black Gram Papad,12.58,1.87,6.54,0.55,0,188,35.8,54.3,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Moisture-Barrier NatureFlex / PLA Hermetic Pouch,Duplex: 25µm NatureFlex NK / 30µm Ingeo PLA Sealant Layer,56,71.1,2.66,Continuous Band Heat Seal,Anti-Breakage Rigid Pouch,No,Ambient Air,Cl. 3(1) Moisture & Insect Protection,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK / Bio-Flex®,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Red Chilli Powder (Lal Mirch),Spices & Condiments,F002,9.35,12.73,5.81,0.46,0,294,28.4,61,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),Triplex: 40gsm Kraft / 15µm Met-PLA / 30µm Bio-PBS Oil-Resistant Sealant,84,1.2,0.66,Hermetic Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Nitrogen Flush,Cl. 5(2) (Spices & Condiments),"IS 10619, IS/ISO 17088",Simulant D; Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / BioPBS™,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Red Chilli Powder (Lal Mirch),Spices & Condiments,F002,9.04,13.27,5.77,0.46,0,348,32.8,55.2,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),Triplex: 40gsm Kraft / 15µm Met-PLA / 30µm Bio-PBS Oil-Resistant Sealant,82,1.5,0.91,Hermetic Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Nitrogen Flush,Cl. 5(2) (Spices & Condiments),"IS 10619, IS/ISO 17088",Simulant D; Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / BioPBS™,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Besan Ladoo,Traditional Sweets (Mithai),Bengal Gram Sweet,5.22,24.33,6.21,0.42,0,110,21,43.5,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Bio-based Paper/NatureFlex Pouch with Grease-Resistant Bio-Coating,Duplex: 50gsm FSC Greaseproof Kraft / 20µm Sealable NatureFlex Bio-film,64,48.2,3,Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Nitrogen Flush (residual O2 < 1.0%),FSSAI Mandatory Mithai Display & Cl. 4(5),"IS 6615, IS/ISO 17088",Simulant D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NK,ICMR-NIN IFCT 2017; CSIR-CFTRI Traditional Indian Confectionery Packaging
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,31.54,26.09,6.25,0.88,0,30,5.2,81.8,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,69,2.7,2.47,Vacuum Chamber Heat Seal,Medium High,Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Traditional Mango Achar (In Mustard Oil),Spices & Condiments,Mango Mustard Oil Matrix,48.39,21,3.34,0.78,0,402,31.3,72.7,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,High Acid & Oil Resistant Biodegradable Spouted Pouch (AlOx-PLA / Bio-PBS),Triplex: 15µm AlOx-PLA / 20µm Bio-PBS / 60µm Acid-Resistant Bio-copolymer Sealant,107,0.5,0.9,Ultrasonic Spout Weld + Hermetic Heat Seal,Corrosion & High Hydrostatic Oil Resistance,No,Mustard Oil Seal Layer Headspace Exclusion,"Cl. 4(3) No corrosion / metal leaching in high acid & salt products (pH <3.5, Salt >12%)","IS/ISO 17088, IS 9845 (Simulant B & D)",Simulant B (3% Acetic Acid) & Simulant D; Zero delamination,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Heavy-Duty Barrier Laminate / BioPBS™ Acid-Shield,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar et al., CSIR-CFTRI Pickle Packaging"
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),Chhana Sweet,52.86,4.51,6.09,0.92,0,108,20.9,59,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Molded Cellulose High-Barrier Can or AlOx-PLA Retort Pouch,Triplex: 15µm AlOx-PLA / 25µm Bio-PBS / 50µm Sealant,107,1.4,0.77,Hermetic Ultrasonic Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Syrup Exclusion,Schedule I (Canned Foods),"IS/ISO 17088, IS 9845",Simulant A; OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",BioPBS™ + AlOx Barrier Film,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,30.43,25.59,6.19,0.88,0,25,2.2,85.6,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,76,5.1,2.79,Vacuum Chamber Heat Seal,Medium High,Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Toor Dal (Split Pigeon Peas),Pulses & Legumes,C001,10.07,1.6,6.36,0.52,0,249,24.4,40.5,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,High-Transparency Compostable PLA/PBAT Blown Film Bag,Monolayer: 50µm Extruded Ingeo PLA / Bio-Flex PBAT Blend,68,179,4.26,Continuous Band Heat Seal (110-125°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air (insect resistance),Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® FX 1130 (FKuR) / Ecovio® F,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Alphonso Mangoes (GI Tagged Ratnagiri),Fresh Horticultural Produce,D001,82.04,0.39,4.14,0.98,24.6,24,12.9,86.3,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Chilled / Ambient Controlled,Molded Sugarcane Bagasse Punnet with Laser Micro-perforated NatureFlex™ Lidding,Base: 400gsm Heavy-duty Sugarcane Bagasse / Lid: 25µm Micro-perforated Cellulosic Film,41,4284.9,30.99,Ventilated Lid Heat Seal / Bio-Elastomer Band,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"3-5% O2, 5-8% CO2, balance N2 (delays climacteric ethylene peak)",Cl. 3(4) & Prohibition of Calcium Carbide / Ethylene chemical contamination,"IS/ISO 17088, IS 2771, IS 9845",Agro-residue pulp; Zero PFAS fluorochemicals; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka (Chuk!) Bagasse Trays + NatureFlex™ NK,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kudachikar et al., CSIR-CFTRI"
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,10.61,21.51,6.36,0.68,0,43,22.6,54.3,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,27,60.9,4.28,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Crush Resistant Rigid Box (IS 2771),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,29.74,26.41,6.24,0.88,0,19,5.7,80.4,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,87,4,2.08,Vacuum Chamber Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Indian Orthodox Black Tea,Beverages & Plantation Crops,Black Tea,6.76,0.43,5.27,0.35,0,338,20.3,62.9,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Multi-ply FSC Kraft Paper Sack with Metallized NatureFlex™ Cellulose Barrier Liner,4-ply Paper: 70gsm Virgin Kraft / 19µm Met-PLA Barrier / 30µm Bio-PBS Sealant,110,1,0.61,Hermetic Inner Liner Heat Seal + Stitched Outer Paper,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Ambient Air / N2 Flush,Cl. 5(4) & Schedule I (Tea & Coffee Packaging),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Zero volatile aroma absorption,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NKME Liner,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Basmati Rice (Aged),Grains & Flours,A005,11.55,0.59,6.52,0.56,0,723,37.4,62.5,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,89,153.4,3.63,Stitched Top / Heat Sealed Inner Liner,Heavy Duty Drop Resistance (>50 kg drop test),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,10.88,21.89,6.26,0.68,0,21,31.2,53.1,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,35,82.3,3.54,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,31.15,25.87,6.22,0.88,0,14,5.6,86.2,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,79,4.9,2.34,Vacuum Chamber Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Dahi (Indian Curd),Dairy Products,Fermented Milk,86.22,4.34,4.23,0.99,0,23,2.2,84.4,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Chilled,Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,Cup: 380µm Ingeo PLA with 15% Talc / Lid: 45gsm FSC Paper + 12µm Bio-PBS Lamination,375,4.9,1.45,Thermal Conductive Peel Seal (105-120°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Clean Air Headspace (prevents whey separation),Cl. 4(1) & Schedule I (Prohibition of Styrene Monomer Leaching),"IS/ISO 17088, IS 9845 (Simulant B)",Simulant B (3% Acetic Acid); OML < 10 mg/dm2 in acidic medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TotalEnergies Corbion Luminy® PLA / EarthFirst® Films,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Fresh Okra (Bhindi),Fresh Horticultural Produce,E008,89.74,0.18,6.11,0.99,71.6,10,8,94.5,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Chilled,High-Breathability Starch-PBAT Bio-Film with Engineered Laser Perforations,Monolayer: 25µm Blown PBAT/Cornstarch Matrix with 80µm micro-holes,25,7342.1,45.26,Heat Seal with Airflow Channels,Tear Resistant against Stem Puncture,Yes,"5% O2, 8% CO2, balance N2 (prevents surface blackening & mucilage breakdown)",Cl. 3(2) Fresh Produce Clean Contact Rules,"IS/ISO 17088, IS 9845",Non-toxic compostable matrix; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mater-Bi® VF04A (Novamont) / Bio-Flex®,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Postharvest Respiration Studies
Gulab Jamun (In Sugar Syrup),Traditional Sweets (Mithai),Milk Solid Sweet,38.5,12.2,5.8,0.85,0,159,27.4,70,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Retortable High-Barrier Bio-Pouch (AlOx-PLA / Bio-PBS),Retort Grade: 19µm AlOx-PLA / 15µm Bio-PBS / 60µm High-Temp Cast PLA Sealant,118,0.8,0.61,Hermetic Impulse Heat Seal (Liquid Tight),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Hot Fill De-aeration / Syrup Headspace Exclusion,Schedule I (Canned & Preserved Foods) & Tin Leaching Ban (<250 mg/kg),"IS/ISO 17088, IS 9845 (Simulant A)",Simulant A (Distilled water at 95°C hot fill); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Retortable Compostable / BioPBS™ High Thermal Grade,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar & Balasubrahmanyam, CSIR-CFTRI"
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,Plantain Fried Chips,2.08,32.08,5.82,0.24,0,147,36.7,72.6,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,High-Barrier Metallized Cellulosic Laminate with N2 Flush,Triplex: 20µm NatureFlex / 15µm Met-Cellulose / 35µm Bio-PBS Sealant,66,1.5,1.17,Hermetic Lap Heat Seal,Puncture Proof against Sharp Chip Edges,Yes,100% N2 Flush (prevents coconut oil rancidity),Cl. 4(5) & Acid value < 2.0,"IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D; OML < 10 mg/dm2 in coconut oil medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / TIPA 302,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
Traditional Mango Achar (In Mustard Oil),Spices & Condiments,Mango Mustard Oil Matrix,48.69,22.43,3.28,0.78,0,438,27.6,76.4,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,High Acid & Oil Resistant Biodegradable Spouted Pouch (AlOx-PLA / Bio-PBS),Triplex: 15µm AlOx-PLA / 20µm Bio-PBS / 60µm Acid-Resistant Bio-copolymer Sealant,118,0.7,1.08,Ultrasonic Spout Weld + Hermetic Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Mustard Oil Seal Layer Headspace Exclusion,"Cl. 4(3) No corrosion / metal leaching in high acid & salt products (pH <3.5, Salt >12%)","IS/ISO 17088, IS 9845 (Simulant B & D)",Simulant B (3% Acetic Acid) & Simulant D; Zero delamination,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Heavy-Duty Barrier Laminate / BioPBS™ Acid-Shield,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar et al., CSIR-CFTRI Pickle Packaging"
Desi Cow Ghee,Dairy Fats,Dairy Fat,0.2,99.63,6.37,0.25,0,249,28.3,61.3,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Amber 100% Bio-based PHA Rigid Jar with Bio-PBS Induction Wad,Rigid: 300µm Biosynthesized Nodax™ PHA with UV-Absorbing Curcumin Additives,344,1.5,0.55,Induction Heat Seal Wad (FSC Paper / Bio-PBS) + Screw Cap,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Headspace Sparging (<0.5% residual O2 to prevent photo-oxidation),"Cl. 5(1) & Schedule I (Ghee, Butter Oil & Edible Oils)","IS/ISO 17088, IS 9845, IS 15392",Simulant D (Iso-octane / Olive Oil); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Danimer Scientific Nodax™ PHA / Bio-Flex® Resin,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gandhi et al., NDRI Karnal Ghee Storage Studies"
Basmati Rice (Aged),Grains & Flours,A005,11.3,0.63,6.49,0.56,0,419,34.4,71.4,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,107,194.9,3.97,Stitched Top / Heat Sealed Inner Liner,Heavy Duty Drop Resistance (>50 kg drop test),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Freshwater Fish (Rohu Steaks),Fish & Seafood,J001,75.89,2.99,6.43,0.99,0,12,0.2,91.5,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Chilled (On Crushed Ice),Waterproof Molded Sugarcane Bagasse Tray + Compostable High-Barrier Lidding Film,Base: 500gsm Hydrophobic Wax-coated Bagasse / Top: 30µm PVOH-coated NatureFlex Film,89,3.5,1.92,Hermetic Tray Lidding Seal (Leak-Proof for Fish Exudate),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"40-50% CO2, balance N2 (anoxic to suppress Pseudomonas and TVB-N)",Schedule I (Fish & Fishery Products) & Cl. 3(2),"IS/ISO 17088, IS 9845 (OML <60 mg/kg)",Simulant A & C; Zero styrene / formaldehyde leaching,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka Chuk! Water-resistant Trays + NatureFlex™ NKME,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Bindu et al., ICAR-CIFT Cochin"
Roasted Urad Dal Papad,Indian Snacks & Namkeen,Black Gram Papad,12.49,1.93,6.56,0.55,0,172,34.7,57.5,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Moisture-Barrier NatureFlex / PLA Hermetic Pouch,Duplex: 25µm NatureFlex NK / 30µm Ingeo PLA Sealant Layer,73,61.4,2.33,Continuous Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Moisture & Insect Protection,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK / Bio-Flex®,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
